nohup: ignoring input
{"step": 1000, "loss": 0.5116757154464722, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1010, "loss": 0.5117397904396057, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1020, "loss": 0.501275360584259, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1030, "loss": 0.4736174941062927, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1040, "loss": 0.5165217518806458, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1050, "loss": 0.478993684053421, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1060, "loss": 0.48423895239830017, "train_mean_reward": 0.9631252604166669, "eval_mean_reward": 0.8811055555555557}
{"step": 1070, "loss": 0.48658180236816406, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1080, "loss": 0.5325372219085693, "train_mean_reward": 0.9693752604166669, "eval_mean_reward": 0.8811055555555557}
{"step": 1090, "loss": 0.4971497654914856, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1100, "loss": 0.4835800230503082, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 1110, "loss": 0.5051030516624451, "train_mean_reward": 0.9646877604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1120, "loss": 0.5024073719978333, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1130, "loss": 0.5214462876319885, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1140, "loss": 0.5156835317611694, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8811055555555557}
{"step": 1150, "loss": 0.4886142909526825, "train_mean_reward": 0.962344010416667, "eval_mean_reward": 0.8811055555555557}
{"step": 1160, "loss": 0.5048571825027466, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1170, "loss": 0.5103340148925781, "train_mean_reward": 0.9732815104166666, "eval_mean_reward": 0.8811055555555557}
{"step": 1180, "loss": 0.48042988777160645, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1190, "loss": 0.5104215741157532, "train_mean_reward": 0.9709377604166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1200, "loss": 0.5163049697875977, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1210, "loss": 0.5084899067878723, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1220, "loss": 0.486523300409317, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8811055555555557}
{"step": 1230, "loss": 0.4946320950984955, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1240, "loss": 0.4889072775840759, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1250, "loss": 0.5195333361625671, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1260, "loss": 0.5164539813995361, "train_mean_reward": 0.9732815104166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1270, "loss": 0.5082618594169617, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1280, "loss": 0.48936977982521057, "train_mean_reward": 0.9662502604166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1290, "loss": 0.5105229616165161, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8811055555555557}
{"step": 1300, "loss": 0.4807436764240265, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1310, "loss": 0.5000576376914978, "train_mean_reward": 0.9740627604166666, "eval_mean_reward": 0.8811055555555557}
{"step": 1320, "loss": 0.5028715133666992, "train_mean_reward": 0.9670315104166669, "eval_mean_reward": 0.8894388888888891}
{"step": 1330, "loss": 0.5253971815109253, "train_mean_reward": 0.9646877604166669, "eval_mean_reward": 0.8894388888888891}
{"step": 1340, "loss": 0.5201947689056396, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1350, "loss": 0.5311838984489441, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1360, "loss": 0.5051243305206299, "train_mean_reward": 0.9709377604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1370, "loss": 0.5181297659873962, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8894388888888891}
{"step": 1380, "loss": 0.4908037781715393, "train_mean_reward": 0.9654690104166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1390, "loss": 0.511384904384613, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1400, "loss": 0.49611130356788635, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8811055555555557}
{"step": 1410, "loss": 0.5000965595245361, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1420, "loss": 0.5235499143600464, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8906293650793652}
{"step": 1430, "loss": 0.5087037086486816, "train_mean_reward": 0.9693752604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1440, "loss": 0.4897244870662689, "train_mean_reward": 0.9654690104166669, "eval_mean_reward": 0.8894388888888891}
{"step": 1450, "loss": 0.5272380709648132, "train_mean_reward": 0.9662502604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1460, "loss": 0.5438210964202881, "train_mean_reward": 0.9756252604166666, "eval_mean_reward": 0.8894388888888891}
{"step": 1470, "loss": 0.4945930540561676, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1480, "loss": 0.49693185091018677, "train_mean_reward": 0.9678127604166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1490, "loss": 0.4696289300918579, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
